9.99,The Dark Knight (2017)
9.5,Logan (2017)
9.31,LOTR: The Return of the King (2003)
9.3,LOTR: The Fellowship of the Ring (2001)
9.3,Mad Max: Fury Road (2015)
9.29,LOTR: The Two Towers (2002)
9.1,Batman Begins (2005)
9.05,Interstellar (2014)
9,War for the Planet of the Apes (2017)
9,Watchmen (2009)
9,Blade Runner 2049 (2017)
8.9,Batman v Superman: Dawn of Justice (Extended Cut) (2016)
8.9,The Nice Guys (2016)
8.8,Bridge of Spies (2015)
8.8,Star Trek Into Darkness (2013)
8.8,Pacific Rim (2013)
8.6,The Dark Knight Rises (2012)
8.6,Now You See Me (2013)
8.5,Get Out (2017)
8.5,Baby Driver (2017)
8.5,Kingsman: The Secret Service (2014)
8.45,Fury (2014)
8.4,Captain America: Civil War (2016)
8.35,Now You See Me 2 (2016)
8.3,What We Do in the Shadows (2014)
8.3,Wonderwoman (2017)
8.3,Edge of Tomorrow (2014)
8.3,John Wick (2014)
8.25,The Hobbit: The Battle of the Five Armies (2014)
8.2,The Imitation Game (2014)
8.2,Godzilla (2014)
8.1,Rogue One: A Star Wars Story (2016)
8.1,Man of Steel (2013)
8,Star Wars: The Last Jedi (2017)
8,Moana (2016)
8,Doctor Strange (2016)
8,Jurrasic World (2015)
8,The Wolf of Wall Street (2013)
7.95,The Man from U.N.C.L.E. (2015)
7.95,Guardians of the Galaxy Volume 1 (2014)
7.9,John Wick: Chapter 2 (2017)
7.9,Minions (2015)
7.8,The Lego Batman Movie (2017)
7.8,Sing (2016)
7.8,Ant-Man (2015)
7.8,Captain America: The Winter Soldier (2014)
7.8,The Lego Movie (2014)
7.75,The Great Gatsby (2013)
7.7,Deadpool (2016)
7.7,Arrival (2016)
7.7,Dawn of the Planet of the Apes (2014)
7.61,Thor: Ragnarok (2017)
7.6,Spider-Man: Homecoming (2017)
7.6,Fantastic Beasts and Where to Find Them (2016)
7.59,Guardians of the Galaxy Volume 2 (2017)
7.5,Kingsman: The Golden Circle (2017)
7.5,Zootopia (2016)
7.5,The Secret Life of Pets (2016)
7.5,Despicable Me 2 (2013)
7.4,Big Hero 6 (2014)
7.3,Iron Man 3 (2013)
7.3,Monsters University (2013)
7.2,Star Wars The Force Awakens (2015)
7.2,The Jungle Book (2016)
7.2,Spectre (2015)
7.2,Oblivion (2013)
7.1,Star Trek Beyond (2016)
7.1,The Wolverine (2013)
7.05,22 Jump Street (2014)
7,Justice League (2017)
7,Gravity (2013)
7,Elysium (2013)
6.95,Despicable Me 3 (2017)
6.95,The Amazing Spider-Man 2 (2014)
6.9,X-Men: Days of Future Past (2014)
6.9,The Maze Runner (2014)
6.8,Avengers: Age of Ultron (2015)
6.7,Furious 7 (2015)
6.7,How to Train Your Dragon 2 (2014)
6.5,Sausage Party (2016)
6.5,Mission Impossible-Rogue Nation (2015)
6.4,Batman v Superman: Dawn of Justice (Theatrical Cut) (2016)
6.3,Kong: Skull Island (2017)
6.1,Kung Fu Panda 3 (2016)
6,The Fate of the Furious (2017)
5.8,Transcendence (2014)
5.8,Transformers: Age of Extinction (2014)
5.8,Fast and Furious 6 (2013)
5.7,Assassin's Creed (2016)
5.6,Pirates of the Caribbean: Dead Men Tell No Tales (2017)
5.6,X-Men: Apocalypse (2016)
5.6,Lucy (2014)
5.5,Thor: The Dark World (2013)
5.5,The Expendables 3 (2014)
4.9,Suicide Squad (Theatrical Cut) (2016)
4.7,Terminator Genisys (2015)
4.5,Transformers: The Last Knight (2017)
3.5,Independence Day: Resurgence (2016)
2.9,G.I. Joe: Retaliation
1,None
0,None
